,Title,Price,ColoursAvailable,ReviewTopic,Reviews,UserID,Date,VerifiedPurchaser,IncentivizedReview
159,NMD_R1 Shoes,150,3,Y’all sent me worn and dirty shoes,"I received a pain of dirty, scuffed, and clearly worn shoes. Disgusting.",Beth ," June 27, 2023",False,False
160,NMD_R1 Shoes,150,3,Cousin loves the black and pink color and comfy,Would recommend again to a family or friend again.,Adrian22 ," June 27, 2023",False,False
161,NMD_R1 Shoes,150,3,Nice shoe for everyday wear,little too narrow but otherwise like them very much,nat2117 ," June 27, 2023",False,False
162,NMD_R1 Shoes,150,3,they run big,They are wide and I'm normally a size 9 and these were too big,miriam ," June 27, 2023 ",False,True
163,NMD_R1 Shoes,150,3,I prefer the kids version. More room for your feet,I couldn’t get my feet into the sneakers. Too narrow of an entry,KayJay ," June 27, 2023",False,False
164,NMD_R1 Shoes,150,3,"Overall design is nice, but too narrow for me","Look/appearance of shoe is nice and sleek, have purchased NMDs in the past and have loved them. However, this specific model was very stiff and the shoe opening was too narrow for my foot.  It took some work to get on and after wearing the shoes all day, the top of my feet started hurting.  Maybe these are just meant for narrow feet. I was very bummed, but I had to return.",PattyV14 ," June 26, 2023",False,False
165,NMD_R1 Shoes,150,3,Love my nmds,"Nmds are my fav
 They aren't soft and squishy but aren't hard as a rock. I love the firmness and support of them. My foot doesn't ache at the end of the day like it does with the squishier models",Nmdlover ," June 26, 2023",False,False
166,NMD_R1 Shoes,150,3,Love this product,It inspires my style. I want to get a full setup for this,CashOut04 ," June 26, 2023",False,False
168,NMD_R1 Shoes,150,3,Perfect size and fit,"The color stood out, the sole is balanced and the inside is quite comfortable.",Darhmi ," June 26, 2023 ",False,True
169,NMD_R1 Shoes,150,3,Dope colorway! Very comfortable for walking.,Best purchase ever! They match any outfit and are easy to put on.,Lance23 ," June 26, 2023",False,False
170,NMD_R1 Shoes,150,3,Confortable and beautiful,"Adidas is the best in sport, i love your style everything",Vane ," June 25, 2023",False,False
171,NMD_R1 Shoes,150,3,Fits differently than the Ultra Boost.,I like the color and shape of it. I have had many Adidas but for some reason this one  from day one gave me blisters on the back of my feet.  I was only walking not even working out.  I am very bummed because now I have to keep them since wore twice for like 15-20 min each.,Murru ," June 25, 2023 ",False,True
172,NMD_R1 Shoes,150,3,Very comfy but they get dirty quickly,"I love these shoes so much, I just wish they didn’t get dirty so quickly because dirt stays in the fabric and it’s hard to get out",Vanessa18 ," June 25, 2023",False,False
173,NMD_R1 Shoes,150,3,Wife loves them,My wife loves these she wears them everywhere she goes when she has to walk for long periods of time,Rayrisa ," June 24, 2023",False,False
174,NMD_R1 Shoes,150,3,Love the structure of the shoe. Very comfortable.,Very comfortable and stylish sneaker. Normally I wear a 6 but had to size down to a 5.5. Waited a while for the sneaker to be available in my size but the wait was worth it.,Gigi26 ," June 24, 2023",False,False
175,NMD_R1 Shoes,150,3,I always love getting new adidas shoes.,I liked the comfort in them. And how good of a deal I got on them.,SC11 ," June 23, 2023",False,False
176,NMD_R1 Shoes,150,3,Love,Color way is dope and perfect fit will. Buy more love adidas,Dipset ," June 23, 2023",False,False
177,NMD_R1 Shoes,150,3,Love these! Most comfortable sneaker ever!,I've bought at least 4 pair of these! Super comfortable!,KimberlyB ," June 23, 2023",False,False
178,NMD_R1 Shoes,150,3,Not the greats shoes. Hard to put on.,Not comfortable at all. Very hard to put on. They run big.,karinaj ," June 22, 2023 ",True,True
179,NMD_R1 Shoes,150,3,Not comfortable,"The shoes are super uncomfortable, it hurts my ankle in the back, have to return them.",sidfha ," June 22, 2023",False,False
180,NMD_R1 Shoes,150,3,Happy with my purchase,Comfortable shoes. I own them in every color and never am disappointed,Dootz ," June 21, 2023",False,False
181,NMD_R1 Shoes,150,3,Very awesome,The shoes are very stylish and not too flashy. However the comfort is out of this world!,Amanduh88 ," June 21, 2023 ",False,True
182,NMD_R1 Shoes,150,3,I love the design and shoes.,"They are so comfortable! 
I recommend this shoes! You are going to love them!",Chacho ," June 20, 2023",False,False
183,NMD_R1 Shoes,150,3,Awesome,"Love it, super comfy and matches with everything. Adidas is my #1",Ash387 ," June 20, 2023 ",False,True
184,NMD_R1 Shoes,150,3,My mom bought then and loves them,I like the the way they look and how clean they are,Bman002 ," June 20, 2023",False,False
185,NMD_R1 Shoes,150,3,Best ever,I love it it my favorite thing ever I want to buy morr,Ashley ," June 20, 2023",False,False
186,NMD_R1 Shoes,150,3,Best purchase,"In love with the color of this shoes, the fill confortable.",Vane1993 ," June 19, 2023",False,False
188,NMD_R1 Shoes,150,3,The best,Great Colab shoes unique designed. The box presentation is the best ever,Ramdrive ," June 19, 2023",False,False
189,NMD_R1 Shoes,150,3,The perfect black sneaker!,"The perfect black sneaker, which made me a new adidas addict. Haha.",Starlight ," June 19, 2023 ",False,True
190,NMD_R1 Shoes,150,3,Very cool but size down 0.5,Super cool looking. Massive amounts of boost - prime knit is super soft. Fits 0.5 size too big. Awesome shoe,James ," June 19, 2023",False,False
191,NMD_R1 Shoes,150,3,Super cute and extremely comfortable!,Love that they go with everything and are supper comfortable!,Dgilmore ," June 19, 2023",False,False
193,NMD_R1 Shoes,150,3,Cute shoes but slightly uncomfortable,"Very cute sneakers! The only complaint I have is that the tongue is hard and it kept digging into the front of my ankle. Other than that,  I've worn it and walked around the airport and Universal Studio all day so I'd say it is very walkable!",charlieyun ," June 18, 2023 ",False,True
194,NMD_R1 Shoes,150,3,Disappointed,"Had a picture in my phone of this for so long to purchase. I finally did, and I was disappointed. It was too big and I bought it based on the size chart plus the colour was nothing like online. Will be returning.",patricewilliams117 ," June 18, 2023 ",False,True
195,NMD_R1 Shoes,150,3,Better to try them on before purchasing,I could hardly put them on because of the one-piece construction. But the size was bigger,Lucy30 ," June 18, 2023 ",False,True
196,NMD_R1 Shoes,150,3,Best,Love the shoes so pretty and confort I loved I walking,Erwinjoel ," June 18, 2023",False,False
202,NMD_R1 Shoes,150,3,This is actually very comfortable to use.,This shoes is pretty nice but it runs big. I would size down if you are planing to get one. Very comfortable,Mikie ," June 17, 2023",False,False
203,NMD_R1 Shoes,150,3,comfy fir everyday use to walk,it is just fit my wide feet.and light to ealk with and the color i love it,dinz ," June 16, 2023 ",False,True
204,NMD_R1 Shoes,150,3,Great shoe my second time getting it!!,Once again Awesome shoe will definitely be buying it again. Very comfortable footwear. One of the best,Baysgod ," June 16, 2023",False,False
205,NMD_R1 Shoes,150,3,Love them,I would highly recommend these to anyone they are so comfortable,Maroon ," June 16, 2023",False,False
206,NMD_R1 Shoes,150,3,Love these shoesss,"Love these shoes, they are the perfect fit width wise and aren’t too tight on the top off my feet. They are my work shoes at a doctors office.",Lexirae7 ," June 16, 2023 ",False,True
207,NMD_R1 Shoes,150,3,Definitely would recommend,Soft cushiony sole and great for work environments that in love a lot of steps,oh45 ," June 15, 2023",False,False
208,NMD_R1 Shoes,150,3,Worst pair of shoe I ever owned,"Probably the worst pair of shoe for the price I paid. The sole is thin, so it’s not suitable for a walking. My feet would hurt after 1 hour. The lace is constantly loosened on its own. On top of that, it gives me blisters if I wear my ankle socks. I don’t know what all the hype is about. Big regret on my purchase.",Djsm ," June 15, 2023",False,False
209,NMD_R1 Shoes,150,3,Best purchase ever!,Love my NMD'S. Specially the color and the comfort.💗,Luvnla ," June 15, 2023 ",False,True
210,NMD_R1 Shoes,150,3,Where’s the support on the bottom of the shoe?,"Had a friend recommend these ‘comfy’ shoes. They’re cute but if you wear these to an 8 hour shift which is the reason i bought them for in the first place, you’re gonna be in pain after 2 hours. They dont have much support on the bottom unfortunately. But for casual use it’s fine.",Yyyy ," June 14, 2023",False,False
211,NMD_R1 Shoes,150,3,Very pretty!!,"Very comfortable, I love them, so pretty color as well !!",Cindy_dguez98 ," June 14, 2023",False,False
212,NMD_R1 Shoes,150,3,Nice shoes,"Perfect fit for my shoes ,,,,,,,,,,,,,,,,,,,,,,,,,,",Elmar ," June 14, 2023",False,False
213,NMD_R1 Shoes,150,3,Great,"Great and amazing
The clothing and the shoes fit very nicely",Emmers ," June 14, 2023",False,False
214,NMD_R1 Shoes,150,3,Comfortable shoes,Good shoes and very comfortable. They look stylish.,Jess90 ," June 13, 2023",False,False
215,NMD_R1 Shoes,150,3,My wife loves them,Bought them for my wife’s birthday my daughter has a pair also,Hart33 ," June 13, 2023 ",False,True
216,NMD_R1 Shoes,150,3,They look great. Perfect shade of green.,I love the way they look. They could use more support under the ball of the foot.,NOLA_Angel ," June 13, 2023",False,False
219,NMD_R1 Shoes,150,3,Will buy Again,Very comfortable shoes and I love the color  green,Justme ," June 13, 2023 ",False,True
220,NMD_R1 Shoes,150,3,Beautiful slip on but hurts a lot,"Beautiful slip on, but hurts on the heel. It’s impossible to use w/ no show socks. Even if you use w/ regular/comfy socks, it’s still unconfortable.
I tried to wear during a trip, but by the end of the day the pain is unbearable. 
Great material used outside X poor finish inside.
Not comfort at all.",paulastan ," June 13, 2023 ",False,True
221,NMD_R1 Shoes,150,3,Perfect fit,Fits perfect and looks great. Bought same shoe different since they are so comfy to wear.,Nani ," June 13, 2023 ",False,True
222,NMD_R1 Shoes,150,3,Loved,I love the fit and color I get  many comments and n how they love the color and they ask where do you get those shoes.,Jammii ," June 13, 2023",False,False
223,NMD_R1 Shoes,150,3,Best purchase,"Color was nice, very comfortable 
I love it, my favorites",Iriano ," June 12, 2023",False,False
224,NMD_R1 Shoes,150,3,Sweet kicks.,I love the NMD-R1’s. I bought 7 pairs and they’re all beautiful and super comfortable.,MaddyZ ," June 12, 2023 ",False,True
225,NMD_R1 Shoes,150,3,Very comfortable,this is my new go to sneaker. so comfortable. just love them,Nance ," June 11, 2023 ",False,True
226,NMD_R1 Shoes,150,3,Love them,"I love these shoes! They are super stylish and I get tons of compliments, but they are also very comfortable. I have wide feet and some foot issues from dancing where I can't have pressure on my big toe joint - and these are great for that. Other athletic shoes have stitching and other things that make certain parts of the shoe too tight, but not these. Of course, Adidas sizing is just strange so definitely be sure to measure your foot and use their size chart - do NOT order your normal U.S. size.",dnc619 ," June 11, 2023 ",False,True
